index,product_id,prediction
78500,61+nORSfqtL.jpg,5.5 inch
78501,61+niuC1IDL.jpg,10 gram
78502,61+nkjYMROL.jpg,14 millimetre
78503,61+nkjYMROL.jpg,14 millimetre
78504,61+nkjYMROL.jpg,14 millimetre
78505,61+nw0a86qL.jpg,13.5 centimetre
78506,61+nw0a86qL.jpg,19 centimetre
78507,61+nztE7NyL.jpg,150 centimetre
78508,61+nztE7NyL.jpg,180 centimetre
78509,61+o0ZqYVPL.jpg,25 millimetre
78510,61+o0ZqYVPL.jpg,25 millimetre
78511,61+o0ZqYVPL.jpg,25 mm (
78512,61+o2eC0xWL.jpg,6.1 inch
78513,61+o2eC0xWL.jpg,8.5 centimetre
78514,61+o5nBocRL.jpg,8 centimetre
78515,61+o5nBocRL.jpg,8
78516,61+o6OV3rfL.jpg,12.5 centimetre
78517,61+oC+WdweS.jpg,5 .
78518,61+oCbnk+qL.jpg,88
78519,61+oHhgAcSL.jpg,10.1 inch
78520,61+oIuSbyvL.jpg,43 millimetre
78521,61+oIuSbyvL.jpg,63 millimetre
78522,61+oIuSbyvL.jpg,78 millimetre
78523,61+oPGWmXKL.jpg,29 .
78524,61+oTrM8naL.jpg,14 inch
78525,61+oZ3xIwIL.jpg,"The depth of the candle, as indicated by its height and width in the packaging image, is approximately 10g. This measurement is based on the typical dimensions of such a candle when it's placed inside its box. It's important to note that this value could vary slightly depending on the specific model or brand of the candle."
78526,61+oacoQjhL.jpg,4.5 inches
78527,61+oacoQjhL.jpg,4.5 inches
78528,61+ohv-yiZL.jpg,5.8 inch
78529,61+oilvVsoL.jpg,13.77 inch
78530,61+oilvVsoL.jpg,13.77 inch
78531,61+oilvVsoL.jpg,13 .
78532,61+onS008yL.jpg,87
78533,61+onS008yL.jpg,87
78534,61+osMG4h2L.jpg,18 m
78535,61+otXQf7IL.jpg,31.5 inch
78536,61+ouw+Jv2L.jpg,13 .
78537,61+ouw+Jv2L.jpg,24
78538,61+p3XeGDrL.jpg,13
78539,61+p99idWuS.jpg,4.1 centimetre
78540,61+pB3E5eDL.jpg,35 centimetre
78541,61+pDeVvXnS.jpg,5.5 inch
78542,61+pDeVvXnS.jpg,5.5 inch
78543,61+pItyLjmL.jpg,27.16 inch
78544,61+pJG99MTS.jpg,25 centimetre
78545,61+pJG99MTS.jpg,15 centimetre
78546,61+pRHUDLDL.jpg,1100 pound
78547,61+pTze0QWL.jpg,33 millimetre
78548,61+pVg3-ASL.jpg,1.97 inch
78549,61+pYECvY3L.jpg,16 .
78550,61+phxP-MHL.jpg,119 centimetre
78551,61+pmMnOT4L.jpg,19.5 centimetre
78552,61+popFtGHL.jpg,250 gsm
78553,61+ppWFZ34L.jpg,27 centimetre
78554,61+ppWFZ34L.jpg,10.26 inch
78555,61+ptyS92tL.jpg,30 mm/
78556,61+pupz2O1L.jpg,47
78557,61+pwW4AGFL.jpg,5.8 ounce
78558,61+q-FJlChL.jpg,60 centimetre
78559,61+q0qvGq0L.jpg,29
78560,61+q3+Ii4BL.jpg,20 centimetre
78561,61+qBdob+lL.jpg,12 inch
78562,61+qPEZiuUL.jpg,14 centimetre
78563,61+qZm-THcL.jpg,380
78564,61+qZm-THcL.jpg,130 millimetre
78565,61+qZm-THcL.jpg,380
78566,61+qaL8iUML.jpg,7.5 centimetre
78567,61+qijTmJcL.jpg,9.8 inch
78568,61+qijTmJcL.jpg,98
78569,61+qlesDL-S.jpg,11 .
78570,61+qlesDL-S.jpg,7.8 inch
78571,61+qlo07LLL.jpg,90 centimetre
78572,61+qnRnEZ6L.jpg,24.5 centimetre
78573,61+qo9GhzBL.jpg,4.17 inch
78574,61+qo9GhzBL.jpg,4.17 inch
78575,61+qo9GhzBL.jpg,2.32 inch
78576,61+qpFRQ9TL.jpg,5 .
78577,61+qpFRQ9TL.jpg,5 .
78578,61+qs4Y2edL.jpg,6.5 inch
78579,61+qs4Y2edL.jpg,6.5 inch
78580,61+qwA4r36L.jpg,48 centimetre
78581,61+r2sfWH+L.jpg,7.7 inch
78582,61+r8d8Rm8L.jpg,3 .
78583,61+r8d8Rm8L.jpg,3 .
78584,61+rKeSGIkL.jpg,6.7 inch
78585,61+rNt8MwfL.jpg,38 inch
78586,61+rQ+xpb3L.jpg,1.96 inch
78587,61+rQ+xpb3L.jpg,2 inches
78588,61+rUsv9jBL.jpg,4.5 centimetre
78589,61+rWop4KGL.jpg,35
78590,61+rZS3-4wL.jpg,9.8 centimetre
78591,61+rZS3-4wL.jpg,98 millimetre
78592,61+reAqajCL.jpg,6 inch
78593,61+reAqajCL.jpg,6 inch
78594,61+rg00fIBL.jpg,390 gram
78595,61+rhHOeuYL.jpg,37 inch
78596,61+roV3YOuL.jpg,75 .
78597,61+roV3YOuL.jpg,31 inch
78598,61+rwLKWZZL.jpg,75 centimetre
78599,61+s23634HL.jpg,31 centimetre
