index,product_id,prediction
42000,51NHN2oq-hL.jpg,10 gram
42001,51NHN2oq-hL.jpg,8
42002,51NHN2oq-hL.jpg,2 gram
42003,51NHXNXYtBL.jpg,200 millimetre
42004,51NHYnqAcZL.jpg,8 centimetre
42005,51NHYnqAcZL.jpg,8 centimetre
42006,51NHc4vB1vL.jpg,63 .
42007,51NHc4vB1vL.jpg,3 .
42008,51NHc4vB1vL.jpg,63.5 millimetre
42009,51NHfafcb2L.jpg,60.3 centimetre
42010,51NHgUIidqL.jpg,56 centimetre
42011,51NHoWZN5VL.jpg,40 kilogram
42012,51NHuYQobjL.jpg,700
42013,51NI+EGkUhL.jpg,75 centimetre
42014,51NI-NJgHaL.jpg,14 centimetre
42015,51NI3CsGyjL.jpg,0 .
42016,51NI3CsGyjL.jpg,1 .
42017,51NICXQy4TL.jpg,10 gram
42018,51NIEsbkxnL.jpg,23.5 inch
42019,51NIKvyRPnL.jpg,32
42020,51NIQzU2hfS.jpg,10 gram
42021,51NIaPXlWSL.jpg,2 .
42022,51NIkeXw4YL.jpg,3 .
42023,51NIkeXw4YL.jpg,11 .
42024,51NIm-yd-2S.jpg,51 centimetre
42025,51NIm-yd-2S.jpg,51 centimetre
42026,51NIwT9K8JL.jpg,8 fl oz (
42027,51NJ8DMw72L.jpg,16 .
42028,51NJI5+FkOL.jpg,10.5 centimetre
42029,51NJI5+FkOL.jpg,1.5 centimetre
42030,51NJXbTDVTL.jpg,12
42031,51NJa1ggNmL.jpg,1.40 m
42032,51NJmwg1KCL.jpg,10.25 in/
42033,51NJomjhBzL.jpg,23 centimetre
42034,51NJu-h-0uL.jpg,13 centimetre
42035,51NJu-h-0uL.jpg,10 centimetre
42036,51NJvBgRQUL.jpg,10 gram
42037,51NJvBgRQUL.jpg,10 gram
42038,51NJvBgRQUL.jpg,20 millimetre
42039,51NK022aqyL.jpg,4 .
42040,51NK022aqyL.jpg,4.39 inch
42041,51NKN+dIdIL.jpg,4.86 in (
42042,51NKm52dETL.jpg,9.32 in /
42043,51NKrIfTO6L.jpg,1.6 oz /
42044,51NL+JjomeL.jpg,10
42045,51NL+JjomeL.jpg,50
42046,51NL2whycnL.jpg,"4 ,"
42047,51NL2whycnL.jpg,4.3 centimetre
42048,51NL3sQH14L.jpg,30
42049,51NL5c3yBJL.jpg,60 inch
42050,51NL8BJNI3L.jpg,96 cm (
42051,51NLC2RTZCL.jpg,13.3 volt
42052,51NLC2RTZCL.jpg,250 watt
42053,51NLOG6oD-L.jpg,10
42054,51NLOG6oD-L.jpg,10 gram
42055,51NLOVTXpSL.jpg,5.5 inch
42056,51NLSAYzuuL.jpg,39 centimetre
42057,51NLWUabmXL.jpg,182 millimetre
42058,51NLXFCb9cL.jpg,31 .
42059,51NLgOQ-WoL.jpg,60 centimetre
42060,51NLhqv4i8L.jpg,7.2 centimetre
42061,51NLhqv4i8L.jpg,8.4 centimetre
42062,51NLkAKPp4L.jpg,6.2 inch
42063,51NLkAKPp4L.jpg,4.3 inch (
42064,51NLvR0NUvL.jpg,4 .
42065,51NLvR0NUvL.jpg,23 .
42066,51NLvvlG20L.jpg,36.5 centimetre
42067,51NLz-+OHdL.jpg,45 millimetre
42068,51NLz-+OHdL.jpg,45
42069,51NLz-+OHdL.jpg,30 millimetre
42070,51NM2zzZ5vL.jpg,10 gram
42071,51NM3QAtXrL.jpg,12.5 centimetre
42072,51NMGD6FrpL.jpg,20 ah
42073,51NMGD6FrpL.jpg,21 volt
42074,51NMWl6tC+L.jpg,28 centimetre
42075,51NMdUrs+KL.jpg,26 centimetre
42076,51NMfKVtJ2L.jpg,17 inch
42077,51NMj-1tDtL.jpg,15 centimetre
42078,51NMmCmUUOL.jpg,10 kilogram
42079,51NMvTFsF4L.jpg,17
42080,51NMwqyZreL.jpg,5 centimetre
42081,51NMzo331xL.jpg,15 ounce
42082,51NN+utfzlL.jpg,6 inch
42083,51NN+utfzlL.jpg,7 .
42084,51NN+xGXW-L.jpg,6.8 ounce
42085,51NN2I1tX3L.jpg,3.5 centimetre
42086,51NN2I1tX3L.jpg,3.5 centimetre
42087,51NN51rwL1L.jpg,40 centimetre
42088,51NN51rwL1L.jpg,10
42089,51NNA0mMpyL.jpg,60 .
42090,51NNGzcBFiL.jpg,10 gram
42091,51NNGzcBFiL.jpg,105 volt
42092,51NNGzcBFiL.jpg,8.4 pound
42093,51NNH134EoL.jpg,35 .
42094,51NNH134EoL.jpg,35 .
42095,51NNHhYWWnL.jpg,47 .
42096,51NNHhYWWnL.jpg,23.5 inch
42097,51NNSQ9u-yL.jpg,2.36 inch
42098,51NNSQ9u-yL.jpg,5.5 in/
42099,51NNTIg7mFL.jpg,1900 gram
